model	length
AT4G30010.1	91
AT4G27230.1	132
AT4G27230.2	132
AT4G19190.1	596
AT4G19090.1	752
AT4G19820.1	367
AT4G21700.1	963
AT4G31390.1	683
AT4G31390.2	658
AT4G10140.1	184
AT4G01700.1	281
AT4G18680.1	236
AT4G30000.2	562
AT4G30000.1	555
AT4G02120.1	557
AT4G23150.1	660
AT4G38780.1	2333
AT4G21110.1	146
AT4G40040.1	137
AT4G40040.2	137
AT4G17300.1	568
AT4G17860.1	357
AT4G18780.1	986
AT4G29020.1	159
AT4G29020.2	114
AT4G11490.1	637
AT4G01310.1	263
AT4G17150.1	503
AT4G17150.2	388
AT4G10040.1	113
AT4G33970.1	700
AT4G02380.1	98
AT4G02380.2	79
AT4G30690.1	282
AT4G30690.2	254
AT4G20870.1	238
AT4G39270.1	865
AT4G39270.2	695
AT4G29010.1	722
AT4G37420.1	589
AT4G19645.1	269
AT4G19645.2	269
AT4G12005.1	81
AT4G28850.1	293
AT4G28590.1	332
AT4G04885.1	809
AT4G23520.1	357
AT4G36090.3	521
AT4G36090.2	453
AT4G36090.1	386
AT4G30060.1	402
AT4G35780.1	571
AT4G02541.1	47
AT4G14805.1	220
AT4G23910.1	199
AT4G23910.2	199
AT4G24500.1	320
AT4G24500.3	320
AT4G24500.2	291
AT4G31460.1	213
AT4G16970.1	890
AT4G08400.1	514
AT4G17905.1	311
AT4G14780.1	365
AT4G33930.1	344
AT4G00755.1	378
AT4G00755.2	378
AT4G16220.1	215
AT4G12590.1	247
AT4G10310.1	507
AT4G23990.1	752
AT4G36820.1	339
AT4G01280.2	304
AT4G01280.1	303
AT4G19890.1	702
AT4G08540.1	474
AT4G14380.1	201
AT4G20590.1	484
AT4G20230.1	610
AT4G00820.1	535
AT4G22620.1	161
AT4G33710.1	167
AT4G17640.1	283
AT4G17640.2	278
AT4G11770.1	397
AT4G05136.1	72
AT4G10360.1	267
AT4G10360.2	267
AT4G23250.1	1036
AT4G29480.1	123
AT4G23070.1	314
AT4G14730.1	236
AT4G22740.1	357
AT4G22740.2	357
AT4G21160.1	338
AT4G21160.2	338
AT4G21160.3	338
AT4G21160.4	338
AT4G16760.1	665
AT4G16760.2	652
AT4G10600.1	238
AT4G25040.1	171
AT4G31890.1	519
AT4G31890.2	519
AT4G09350.1	250
AT4G17940.1	275
AT4G16070.1	655
AT4G16070.2	647
AT4G18980.1	107
AT4G14430.1	241
AT4G37450.1	210
AT4G37970.1	364
AT4G25340.1	478
AT4G25340.2	445
AT4G02460.1	924
AT4G37560.1	453
AT4G31780.2	534
AT4G31780.1	505
AT4G02340.1	325
AT4G11970.1	445
AT4G11970.3	386
AT4G11970.2	360
AT4G16855.1	46
AT4G39920.1	346
AT4G15350.1	510
AT4G32350.1	733
AT4G23280.1	657
AT4G34250.1	494
AT4G04985.1	159
AT4G06598.1	342
AT4G39560.1	267
AT4G39560.2	267
AT4G22720.1	354
AT4G22720.2	354
AT4G32970.1	639
AT4G21660.2	599
AT4G21660.1	585
AT4G12050.1	340
AT4G22485.1	657
AT4G33230.1	610
AT4G30470.1	304
AT4G21760.1	536
AT4G29548.1	72
AT4G35150.1	326
AT4G02920.2	420
AT4G02920.1	419
AT4G16210.1	266
AT4G09930.1	336
AT4G16810.1	301
AT4G33030.1	478
AT4G35837.1	55
AT4G20350.2	242
AT4G20350.1	187
AT4G20110.2	629
AT4G20110.1	626
AT4G09190.1	384
AT4G18770.1	428
AT4G16650.1	550
AT4G13968.1	90
AT4G32720.1	434
AT4G32720.2	405
AT4G28750.1	144
AT4G16130.1	1040
AT4G13885.1	264
AT4G03156.1	78
AT4G03170.1	251
AT4G08685.1	160
AT4G13070.1	344
AT4G00060.1	1482
AT4G36988.1	37
AT4G34760.1	108
AT4G10115.1	97
AT4G11050.1	627
AT4G00950.1	292
AT4G05020.2	620
AT4G05020.1	583
AT4G22280.1	416
AT4G22280.2	333
AT4G01671.1	58
AT4G04470.1	191
AT4G18870.1	292
AT4G37370.1	498
AT4G35660.1	289
AT4G16990.2	797
AT4G16990.1	671
AT4G16990.4	644
AT4G16990.3	639
AT4G16990.5	638
AT4G26701.1	70
AT4G38100.1	194
AT4G34412.1	173
AT4G12930.1	142
AT4G32378.1	37
AT4G28100.1	305
AT4G15130.1	305
AT4G20290.1	142
AT4G27000.1	416
AT4G26790.1	352
AT4G26790.2	352
AT4G25692.1	56
AT4G14860.1	183
AT4G17570.2	527
AT4G17570.3	515
AT4G17570.1	511
AT4G16150.1	924
AT4G02733.1	302
AT4G22400.1	328
AT4G31130.1	196
AT4G39675.1	71
AT4G01970.1	877
AT4G39140.1	430
AT4G39140.2	430
AT4G39140.3	430
AT4G39140.4	430
AT4G39140.5	430
AT4G28280.2	161
AT4G28280.1	135
AT4G14050.1	613
AT4G15545.1	338
AT4G13985.1	460
AT4G00170.1	240
AT4G32920.1	1433
AT4G32920.2	1433
AT4G32920.3	1433
AT4G15360.1	528
AT4G30760.1	192
AT4G30760.2	191
AT4G14080.1	479
AT4G20850.1	1381
AT4G18480.1	425
AT4G32110.1	125
AT4G17695.1	323
AT4G15415.1	523
AT4G15415.2	523
AT4G11653.1	91
AT4G16360.3	262
AT4G16360.1	260
AT4G16360.2	259
AT4G36470.1	372
AT4G04630.1	169
AT4G35540.1	528
AT4G36050.2	611
AT4G36050.1	409
AT4G14750.1	388
AT4G36020.1	300
AT4G22050.1	355
AT4G24231.1	50
AT4G31615.1	488
AT4G39230.1	309
AT4G26288.1	156
AT4G27320.1	261
AT4G17600.1	263
AT4G05050.1	230
AT4G05050.2	230
AT4G05050.3	230
AT4G05050.4	154
AT4G24810.2	482
AT4G24810.3	446
AT4G24810.1	439
AT4G20530.1	469
AT4G27460.1	392
AT4G21990.1	459
AT4G21990.2	341
AT4G31280.1	54
AT4G36840.1	239
AT4G18197.1	391
AT4G08530.1	104
AT4G38640.1	557
AT4G12490.1	183
AT4G16350.1	227
AT4G33080.1	520
AT4G33080.2	508
AT4G28005.1	116
AT4G17880.1	590
AT4G18282.1	55
AT4G38800.1	268
AT4G01650.1	289
AT4G01650.2	212
AT4G34330.1	355
AT4G33880.1	353
AT4G28890.1	433
AT4G10020.1	390
AT4G28068.1	35
AT4G36520.1	1423
AT4G04910.1	743
AT4G32540.1	415
AT4G26800.1	370
AT4G36210.3	673
AT4G36210.1	551
AT4G36210.2	517
AT4G04030.1	129
AT4G24010.1	761
AT4G22690.1	558
AT4G36060.1	287
AT4G36060.2	269
AT4G30700.1	793
AT4G01240.1	660
AT4G02200.3	229
AT4G02200.1	215
AT4G02200.2	208
AT4G36080.1	3835
AT4G36080.3	3810
AT4G36080.2	3805
AT4G33860.1	577
AT4G15710.1	142
AT4G24000.1	723
AT4G02610.1	276
AT4G13395.1	56
AT4G23220.1	729
AT4G18905.2	505
AT4G18905.1	495
AT4G25870.1	390
AT4G10760.1	686
AT4G00440.2	836
AT4G00440.3	833
AT4G00440.1	832
AT4G38460.1	327
AT4G35600.2	421
AT4G35600.1	420
AT4G12545.1	109
AT4G22115.1	87
AT4G10480.1	213
AT4G10480.2	212
AT4G13850.1	159
AT4G13850.2	154
AT4G13850.3	145
AT4G13850.4	130
AT4G11030.1	667
AT4G14030.1	491
AT4G14030.2	491
AT4G00238.1	346
AT4G36010.1	302
AT4G36010.2	302
AT4G11460.1	701
AT4G38760.1	1966
AT4G36700.1	523
AT4G02390.1	638
AT4G21400.1	712
AT4G31470.1	186
AT4G08967.1	37
AT4G00920.1	315
AT4G12340.1	171
AT4G22513.1	116
AT4G32340.1	239
AT4G03050.2	362
AT4G03050.1	290
AT4G31180.1	559
AT4G31180.2	559
AT4G36920.1	433
AT4G36920.2	433
AT4G12960.2	244
AT4G12960.1	234
AT4G19985.1	238
AT4G38310.1	121
AT4G09060.2	368
AT4G09060.1	342
AT4G09880.1	82
AT4G02530.1	217
AT4G24740.1	428
AT4G24740.2	325
AT4G20400.1	955
AT4G20400.2	898
AT4G15802.1	87
AT4G11110.1	1037
AT4G02195.1	324
AT4G08140.1	85
AT4G18900.1	462
AT4G10440.1	634
AT4G14010.1	118
AT4G31210.1	1285
AT4G30074.1	127
AT4G33390.1	780
AT4G39530.1	835
AT4G37230.1	144
AT4G08360.1	142
AT4G12700.1	562
AT4G32208.1	154
AT4G26455.1	490
AT4G38420.1	550
AT4G16370.1	738
AT4G34440.1	671
AT4G17370.1	369
AT4G37280.1	321
AT4G37670.2	614
AT4G37670.1	544
AT4G39540.3	309
AT4G39540.1	301
AT4G39540.2	301
AT4G16160.2	179
AT4G16160.1	177
AT4G01100.2	367
AT4G01100.1	353
AT4G18790.1	531
AT4G34630.1	200
AT4G22650.1	157
AT4G25780.1	191
AT4G15100.1	489
AT4G39220.1	192
AT4G34320.1	375
AT4G27010.2	2403
AT4G27010.1	2375
AT4G13100.2	266
AT4G13100.1	260
AT4G13100.3	257
AT4G13100.4	257
AT4G13100.5	257
AT4G24860.1	1123
AT4G26770.1	472
AT4G09740.1	479
AT4G24175.1	307
AT4G37510.1	538
AT4G29080.1	306
AT4G35420.1	327
AT4G09730.1	622
AT4G21190.1	308
AT4G37140.1	137
AT4G10130.1	175
AT4G11750.1	387
AT4G31440.1	380
AT4G37390.1	604
AT4G06583.2	95
AT4G06583.1	83
AT4G22370.1	131
AT4G04350.1	974
AT4G03000.1	815
AT4G03000.2	815
AT4G15810.1	919
AT4G05030.1	111
AT4G11330.1	377
AT4G01050.1	467
AT4G11760.1	97
AT4G34260.1	844
AT4G06688.1	611
AT4G01000.1	416
AT4G25710.1	391
AT4G25710.2	277
AT4G08267.1	127
AT4G29450.1	864
AT4G12620.1	814
AT4G06534.1	406
AT4G03460.1	678
AT4G09000.2	319
AT4G09000.1	268
AT4G29490.1	487
AT4G15560.1	718
AT4G26100.1	451
AT4G15980.1	702
AT4G11860.1	683
AT4G18720.1	267
AT4G05350.1	207
AT4G01245.1	119
AT4G33240.1	1758
AT4G33240.2	1757
AT4G33240.3	1754
AT4G39680.1	634
AT4G39680.2	634
AT4G32130.1	203
AT4G25990.2	410
AT4G25990.1	395
AT4G02660.1	3528
AT4G02900.1	786
AT4G27500.1	613
AT4G10150.1	237
AT4G28181.1	37
AT4G05100.1	325
AT4G01190.1	402
AT4G08960.1	393
AT4G12330.1	519
AT4G36070.2	562
AT4G36070.1	535
AT4G03010.1	396
AT4G26010.1	311
AT4G18040.1	236
AT4G08073.1	61
AT4G03610.1	304
AT4G03610.2	296
AT4G27870.1	762
AT4G02400.1	856
AT4G04745.1	147
AT4G30140.1	349
AT4G31020.1	295
AT4G31020.2	295
AT4G32880.1	834
AT4G34070.1	314
AT4G22170.1	364
AT4G22530.1	262
AT4G19925.1	250
AT4G39800.1	512
AT4G04500.1	647
AT4G40060.1	295
AT4G28040.1	360
AT4G28040.2	360
AT4G28040.3	360
AT4G28040.4	360
AT4G28040.5	360
AT4G12150.1	358
AT4G25660.1	256
AT4G37430.1	501
AT4G05420.1	1089
AT4G05420.2	1068
AT4G29760.1	281
AT4G01480.1	217
AT4G31510.1	215
AT4G17770.1	863
AT4G37660.1	168
AT4G01520.1	303
AT4G01730.1	509
AT4G00490.1	543
AT4G31600.1	324
AT4G31600.2	309
AT4G19250.1	229
AT4G14270.1	144
AT4G14270.2	142
AT4G35519.1	41
AT4G37830.1	103
AT4G37830.2	93
AT4G01030.1	769
AT4G33820.1	571
AT4G34090.3	391
AT4G34090.2	332
AT4G34090.1	331
AT4G09587.1	47
AT4G33400.1	646
AT4G27330.1	315
AT4G08320.2	428
AT4G08320.1	427
AT4G16144.1	508
AT4G01870.1	653
AT4G11876.1	44
AT4G24370.1	165
AT4G23360.1	874
AT4G23260.1	660
AT4G23260.2	649
AT4G19040.2	725
AT4G19040.3	721
AT4G19040.1	719
AT4G14580.1	427
AT4G18990.1	358
AT4G37550.1	453
AT4G37550.3	433
AT4G37550.2	383
AT4G08580.1	436
AT4G38380.1	561
AT4G01023.1	237
AT4G13110.1	317
AT4G17505.1	323
AT4G13330.1	429
AT4G30440.1	430
AT4G13360.1	422
AT4G30620.1	181
AT4G36650.1	504
AT4G36650.2	370
AT4G13760.1	405
AT4G22310.1	109
AT4G04700.1	486
AT4G29470.1	192
AT4G03440.1	752
AT4G16530.1	804
AT4G15650.1	262
AT4G17310.1	100
AT4G17310.2	98
AT4G12850.1	184
AT4G12850.2	139
AT4G12850.3	62
AT4G14358.1	88
AT4G23500.1	496
AT4G09430.1	1040
AT4G38850.1	90
AT4G25810.1	287
AT4G27160.1	165
AT4G38330.1	48
AT4G20170.1	505
AT4G04800.1	177
AT4G32520.1	530
AT4G32520.2	530
AT4G15570.1	819
AT4G32120.1	346
AT4G02050.1	514
AT4G21460.1	416
AT4G33420.1	326
AT4G25570.1	240
AT4G27740.1	106
AT4G26740.1	246
AT4G08670.1	209
AT4G00005.1	119
AT4G20620.1	484
AT4G35820.1	273
AT4G27420.1	639
AT4G09610.1	100
AT4G09965.1	224
AT4G35470.1	550
AT4G32510.1	674
AT4G00900.1	1055
AT4G32160.1	724
AT4G29890.1	423
AT4G29910.1	535
AT4G38530.1	565
AT4G39960.1	448
AT4G38230.2	515
AT4G38230.3	485
AT4G38230.1	341
AT4G05190.1	791
AT4G20235.1	341
AT4G33900.1	380
AT4G04570.1	655
AT4G04570.2	572
AT4G33150.1	1065
AT4G33150.2	1065
AT4G33150.3	483
AT4G19010.1	567
AT4G24080.1	232
AT4G12860.1	153
AT4G28397.1	112
AT4G28397.2	87
AT4G03370.1	296
AT4G35950.1	198
AT4G24280.1	719
AT4G31196.1	50
AT4G21080.1	250
AT4G32150.1	220
AT4G38710.2	466
AT4G38710.1	453
AT4G22240.1	311
AT4G34210.1	153
AT4G37010.2	172
AT4G37010.1	168
AT4G02810.1	272
AT4G01250.1	299
AT4G04080.1	172
AT4G34588.1	43
AT4G38590.2	1053
AT4G38590.1	989
AT4G34420.1	343
AT4G35580.2	535
AT4G35580.3	534
AT4G35580.1	513
AT4G25120.1	1150
AT4G09450.1	201
AT4G26270.1	490
AT4G20070.1	526
AT4G39986.1	39
AT4G27100.1	437
AT4G27100.2	434
AT4G00250.1	320
AT4G35940.1	452
AT4G35940.2	396
AT4G36930.1	374
AT4G33520.2	950
AT4G33520.3	950
AT4G33520.1	238
AT4G25400.1	164
AT4G32760.2	677
AT4G32760.1	676
AT4G24220.1	389
AT4G24220.2	388
AT4G07350.1	331
AT4G24830.1	495
AT4G24830.2	451
AT4G30530.1	251
AT4G01037.1	529
AT4G08780.1	347
AT4G39400.1	1197
AT4G31350.1	377
AT4G31350.2	377
AT4G27730.1	737
AT4G19850.2	221
AT4G19850.1	195
AT4G26420.1	377
AT4G26420.2	266
AT4G40100.1	226
AT4G36390.1	641
AT4G01780.1	473
AT4G22550.1	214
AT4G30510.1	313
AT4G30510.2	249
AT4G14550.1	229
AT4G05475.1	310
AT4G00600.1	311
AT4G04020.1	319
AT4G01550.1	458
AT4G01550.2	329
AT4G37610.1	369
AT4G20900.1	451
AT4G36680.1	413
AT4G15390.1	447
AT4G24590.1	242
AT4G23400.1	288
AT4G22490.1	121
AT4G13150.1	348
AT4G18372.1	113
AT4G14500.1	434
AT4G14500.2	295
AT4G18340.1	398
AT4G40020.1	616
AT4G10890.1	528
AT4G21850.1	144
AT4G21850.2	122
AT4G38650.1	563
AT4G39690.1	651
AT4G14096.1	469
AT4G15740.1	469
AT4G08380.1	438
AT4G02830.1	185
AT4G02830.2	183
AT4G23493.1	88
AT4G29930.3	264
AT4G29930.1	255
AT4G29930.2	226
AT4G29930.4	185
AT4G10530.1	748
AT4G15800.1	117
AT4G13730.1	450
AT4G13730.3	439
AT4G13730.2	409
AT4G32820.2	1873
AT4G32820.1	1864
AT4G39810.1	256
AT4G35890.1	524
AT4G19260.1	289
AT4G15690.1	103
AT4G10650.1	378
AT4G37770.1	470
AT4G09310.1	398
AT4G35110.3	402
AT4G35110.4	399
AT4G35110.1	387
AT4G35110.2	387
AT4G15720.1	617
AT4G03540.1	165
AT4G11670.1	1118
AT4G34170.1	294
AT4G37300.1	174
AT4G01830.1	1231
AT4G19480.1	129
AT4G30750.1	215
AT4G26750.1	422
AT4G27745.1	107
AT4G38540.1	408
AT4G36290.1	636
AT4G37100.1	897
AT4G06479.1	371
AT4G24980.1	271
AT4G04920.1	1279
AT4G04920.2	1268
AT4G12030.2	408
AT4G12030.1	274
AT4G20250.1	56
AT4G33840.1	577
AT4G37590.1	581
AT4G18290.1	698
AT4G12830.1	394
AT4G15075.1	169
AT4G12600.2	184
AT4G12600.1	129
AT4G31630.1	513
AT4G27790.1	346
AT4G14950.1	417
AT4G14950.3	407
AT4G14950.2	356
AT4G31900.1	1203
AT4G31900.2	1162
AT4G17440.1	216
AT4G17440.2	216
AT4G15550.1	475
AT4G02220.1	419
AT4G23730.1	307
AT4G01120.1	361
AT4G31610.1	518
AT4G09150.2	1099
AT4G09150.1	1098
AT4G15053.1	404
AT4G26590.1	754
AT4G24130.1	158
AT4G27640.1	1049
AT4G26920.1	462
AT4G00360.1	554
AT4G23000.1	1016
AT4G35200.1	254
AT4G07400.1	555
AT4G04940.1	911
AT4G29840.1	527
AT4G35655.1	69
AT4G24990.1	119
AT4G01850.1	394
AT4G01850.2	394
AT4G14620.1	342
AT4G17270.1	344
AT4G03153.1	216
AT4G36660.1	180
AT4G25590.1	138
AT4G16045.1	383
AT4G38170.1	546
AT4G21895.1	240
AT4G10190.1	368
AT4G19860.1	536
AT4G29340.1	135
AT4G34620.1	114
AT4G22470.1	376
AT4G12710.1	403
AT4G23120.1	361
AT4G39840.1	452
AT4G15093.1	270
AT4G01440.1	366
AT4G02715.1	206
AT4G29400.1	303
AT4G10070.1	726
AT4G12470.1	162
AT4G21440.1	351
AT4G26170.1	507
AT4G09500.2	443
AT4G09500.1	418
AT4G22430.1	428
AT4G08620.1	650
AT4G11485.1	103
AT4G26483.1	85
AT4G03110.1	442
AT4G03110.2	440
AT4G00525.1	141
AT4G11730.1	814
AT4G09860.1	55
AT4G37880.1	389
AT4G30970.1	135
AT4G28990.2	396
AT4G28990.1	348
AT4G08485.1	87
AT4G32990.1	329
AT4G10640.1	424
AT4G29035.1	152
AT4G00700.1	1007
AT4G27480.1	422
AT4G27480.2	422
AT4G19370.1	218
AT4G32915.1	156
AT4G25225.1	57
AT4G16770.1	326
AT4G28080.1	1820
AT4G19210.1	606
AT4G35080.3	390
AT4G35080.1	366
AT4G35080.2	337
AT4G00660.1	506
AT4G00660.2	506
AT4G22820.1	177
AT4G22820.2	177
AT4G22220.1	168
AT4G10280.1	141
AT4G24100.1	710
AT4G33660.1	77
AT4G35310.1	557
AT4G37680.1	386
AT4G37680.2	386
AT4G02410.1	675
AT4G17020.3	483
AT4G17020.2	463
AT4G17020.1	453
AT4G36940.1	560
AT4G02570.1	739
AT4G02570.2	739
AT4G02570.3	739
AT4G02570.4	739
AT4G14070.1	728
AT4G13490.1	227
AT4G01040.1	431
AT4G23010.3	393
AT4G23010.2	363
AT4G23010.1	346
AT4G26250.1	337
AT4G34700.1	118
AT4G13410.1	538
AT4G29750.1	842
AT4G27280.1	131
AT4G32330.1	438
AT4G32330.3	438
AT4G32330.2	437
AT4G23870.1	117
AT4G00680.1	141
AT4G15735.1	108
AT4G36900.1	197
AT4G21580.1	326
AT4G21580.3	320
AT4G21580.2	293
AT4G26070.2	355
AT4G26070.3	355
AT4G26070.1	309
AT4G34135.1	484
AT4G34135.2	336
AT4G33810.1	530
AT4G31530.2	339
AT4G31530.1	325
AT4G24910.1	316
AT4G19100.1	215
AT4G15900.1	487
AT4G31790.1	278
AT4G31790.2	278
AT4G09590.1	212
AT4G21323.1	804
AT4G30230.1	261
AT4G14600.1	138
AT4G26370.1	302
AT4G26370.2	249
AT4G28350.1	650
AT4G05400.1	251
AT4G05400.2	251
AT4G30120.1	543
AT4G00340.1	819
AT4G12520.1	130
AT4G27040.1	251
AT4G27040.2	251
AT4G27040.3	251
AT4G27040.4	251
AT4G30980.1	311
AT4G16515.1	87
AT4G27130.1	114
AT4G01600.1	234
AT4G01600.2	229
AT4G21690.1	350
AT4G01570.1	806
AT4G14370.1	1009
AT4G11090.1	433
AT4G27860.1	612
AT4G27860.2	597
AT4G20680.1	274
AT4G37400.1	502
AT4G11521.1	266
AT4G36910.1	237
AT4G22505.1	531
AT4G23530.1	397
AT4G17260.1	354
AT4G04423.1	157
AT4G04180.1	610
AT4G05200.1	676
AT4G08310.1	505
AT4G12920.1	390
AT4G27990.1	219
AT4G22870.2	154
AT4G22870.1	113
AT4G00752.1	470
AT4G11990.1	502
AT4G19060.1	384
AT4G19905.1	77
AT4G00070.1	180
AT4G29860.1	387
AT4G31990.3	463
AT4G31990.1	454
AT4G31990.2	454
AT4G31990.4	449
AT4G26880.1	153
AT4G12370.1	301
AT4G21910.4	576
AT4G21910.2	510
AT4G21910.1	508
AT4G21910.3	508
AT4G15080.1	719
AT4G39510.1	509
AT4G36830.1	290
AT4G32490.1	222
AT4G09550.1	72
AT4G22570.1	184
AT4G14240.1	495
AT4G14240.2	486
AT4G09520.1	493
AT4G19830.1	230
AT4G05470.1	305
AT4G19750.1	363
AT4G38495.1	125
AT4G12510.1	130
AT4G28720.1	427
AT4G37608.1	88
AT4G34900.1	1354
AT4G00335.1	191
AT4G00335.2	191
AT4G00335.3	190
AT4G28800.1	446
AT4G10950.1	401
AT4G21870.1	135
AT4G31230.1	765
AT4G15975.1	236
AT4G24644.1	55
AT4G18670.1	858
AT4G13955.1	95
AT4G26210.1	123
AT4G26210.2	123
AT4G32272.2	360
AT4G32272.1	345
AT4G12820.1	443
AT4G00480.2	581
AT4G00480.1	527
AT4G09970.1	251
AT4G09970.2	213
AT4G19870.1	401
AT4G19870.2	401
AT4G37190.1	563
AT4G37190.2	517
AT4G11830.2	857
AT4G11830.1	825
AT4G16190.1	374
AT4G09210.1	155
AT4G16141.1	198
AT4G03260.1	678
AT4G03260.2	678
AT4G21640.1	734
AT4G10490.1	349
AT4G05320.2	458
AT4G05320.4	458
AT4G05320.1	382
AT4G05320.3	382
AT4G05320.6	382
AT4G05320.5	306
AT4G12870.1	230
AT4G27610.1	335
AT4G27610.2	335
AT4G27610.3	335
AT4G10200.1	734
AT4G12040.1	176
AT4G12040.2	176
AT4G22980.1	560
AT4G39950.1	542
AT4G02600.1	527
AT4G02600.2	527
AT4G14160.1	774
AT4G14160.2	773
AT4G14160.3	621
AT4G04090.1	193
AT4G25620.1	450
AT4G28470.1	892
AT4G11930.1	273
AT4G36690.1	574
AT4G36690.3	566
AT4G36690.4	552
AT4G36690.2	543
AT4G12840.1	396
AT4G12840.2	396
AT4G01460.1	316
AT4G34550.1	280
AT4G25750.1	578
AT4G26030.1	221
AT4G40042.1	94
AT4G04330.1	175
AT4G18580.1	116
AT4G18580.2	116
AT4G04320.1	519
AT4G04320.2	518
AT4G24530.1	520
AT4G26860.2	255
AT4G26860.1	245
AT4G04580.1	167
AT4G23940.1	947
AT4G14280.1	799
AT4G00590.1	409
AT4G00590.2	394
AT4G16050.1	667
AT4G36630.1	1001
AT4G17390.1	205
AT4G19650.1	576
AT4G28180.1	257
AT4G27580.1	105
AT4G30064.1	79
AT4G39380.2	535
AT4G39380.1	519
AT4G29590.1	318
AT4G26460.1	116
AT4G20330.1	287
AT4G39060.1	369
AT4G31960.1	120
AT4G18240.1	1041
AT4G26965.1	185
AT4G26965.2	148
AT4G29130.1	497
AT4G29870.1	173
AT4G21890.1	267
AT4G15090.1	828
AT4G02160.1	184
AT4G16600.1	495
AT4G32370.1	343
AT4G36860.1	554
AT4G23240.1	353
AT4G29430.1	130
AT4G31650.1	494
AT4G12580.1	102
AT4G12580.2	96
AT4G28250.1	265
AT4G28250.2	259
AT4G11440.1	629
AT4G35210.1	251
AT4G26040.1	123
AT4G16610.1	205
AT4G27060.1	865
AT4G01810.1	881
AT4G19390.1	274
AT4G01335.1	101
AT4G24120.1	674
AT4G26310.2	262
AT4G26310.1	259
AT4G25740.1	178
AT4G25740.2	150
AT4G02370.1	168
AT4G38000.1	247
AT4G15440.1	385
AT4G07940.1	140
AT4G21065.1	596
AT4G21065.2	463
AT4G34690.1	208
AT4G29880.1	374
AT4G27240.1	432
AT4G38520.1	401
AT4G38520.2	401
AT4G36100.1	237
AT4G17410.2	828
AT4G17410.3	828
AT4G17410.1	827
AT4G14710.5	202
AT4G14710.3	201
AT4G14710.1	200
AT4G14710.2	200
AT4G14710.4	183
AT4G20930.1	348
AT4G09070.1	220
AT4G16250.1	1165
AT4G00200.1	319
AT4G12270.1	461
AT4G03415.1	469
AT4G03415.2	469
AT4G31720.1	135
AT4G31720.2	135
AT4G14905.1	373
AT4G14905.2	373
AT4G32060.1	499
AT4G32060.2	455
AT4G21105.1	69
AT4G21105.2	49
AT4G24140.1	499
AT4G18180.1	415
AT4G20800.1	529
AT4G19540.1	314
AT4G07675.1	168
AT4G35300.1	740
AT4G35300.4	740
AT4G35300.2	730
AT4G35300.3	730
AT4G35300.5	543
AT4G02360.1	155
AT4G31100.1	787
AT4G13320.1	217
AT4G18425.1	214
AT4G31050.1	279
AT4G01150.1	165
AT4G01150.2	126
AT4G10613.1	147
AT4G16640.1	365
AT4G17718.1	102
AT4G15850.1	523
AT4G37780.1	306
AT4G35070.1	266
AT4G35070.2	211
AT4G03080.1	882
AT4G08520.1	182
AT4G29370.1	379
AT4G03930.1	525
AT4G25380.1	131
AT4G21340.1	302
AT4G13640.2	296
AT4G13640.1	293
AT4G37840.1	494
AT4G19160.2	454
AT4G19160.3	442
AT4G19160.1	313
AT4G25150.1	261
AT4G24490.1	679
AT4G24490.2	679
AT4G18490.1	757
AT4G18490.2	756
AT4G14520.1	201
AT4G14520.2	201
AT4G14520.3	201
AT4G01560.1	344
AT4G13030.1	482
AT4G13030.2	480
AT4G32420.1	838
AT4G32420.3	838
AT4G32420.4	821
AT4G32420.2	728
AT4G10420.1	323
AT4G07820.1	161
AT4G20410.1	292
AT4G21310.1	169
AT4G24275.1	127
AT4G13230.1	121
AT4G14540.1	162
AT4G25950.1	109
AT4G18100.1	134
AT4G14746.1	213
AT4G39170.1	615
AT4G39170.2	613
AT4G02485.1	227
AT4G36280.1	627
AT4G12980.1	395
AT4G22680.1	267
AT4G21520.1	426
AT4G24250.1	479
AT4G24960.1	136
AT4G24960.3	136
AT4G24960.2	105
AT4G31850.1	1113
AT4G33200.1	1523
AT4G33200.3	1504
AT4G33200.2	1493
AT4G04402.1	168
AT4G25180.1	312
AT4G22540.1	722
AT4G22540.2	511
AT4G22540.3	511
AT4G22540.4	511
AT4G22745.1	205
AT4G17060.1	311
AT4G09795.1	78
AT4G30960.1	442
AT4G37730.1	306
AT4G33865.1	57
AT4G20880.1	406
AT4G22800.1	91
AT4G34600.1	84
AT4G34830.1	1090
AT4G03130.1	767
AT4G15420.1	562
AT4G24570.1	314
AT4G12731.1	61
AT4G29610.1	294
AT4G38670.1	282
AT4G38670.3	282
AT4G38670.2	281
AT4G17870.1	192
AT4G28830.1	209
AT4G28830.2	162
AT4G22080.1	395
AT4G23390.1	402
AT4G01500.1	334
AT4G35530.1	196
AT4G37330.1	493
AT4G21020.1	267
AT4G34050.1	260
AT4G34050.2	149
AT4G17970.1	561
AT4G27110.1	669
AT4G29735.2	99
AT4G29735.1	77
AT4G36030.1	671
AT4G28670.1	626
AT4G02871.1	51
AT4G38910.2	284
AT4G38910.1	259
AT4G29273.1	78
AT4G26055.1	63
AT4G16000.1	90
AT4G15160.1	276
AT4G15160.2	194
AT4G14403.1	31
AT4G28556.1	217
AT4G29654.1	159
AT4G22217.1	88
AT4G04720.1	532
AT4G38840.1	100
AT4G04610.1	466
AT4G09780.1	428
AT4G39890.1	215
AT4G16765.1	248
AT4G16765.2	185
AT4G01010.1	697
