model	cds-gc
AT4G11350.1	0.499013
AT4G11350.2	0.459831
AT4G02420.1	0.480299
AT4G12410.1	0.464819
AT4G16520.1	0.490305
AT4G16520.2	0.490305
AT4G31710.1	0.485141
AT4G08990.1	0.484782
AT4G25600.1	0.475316
AT4G10510.1	0.498038
AT4G21326.1	0.476106
AT4G13280.1	0.492357
AT4G00350.1	0.459975
AT4G20640.1	0.478231
AT4G28703.1	0.498433
AT4G13180.1	0.473952
AT4G03420.1	0.460129
AT4G14420.1	0.483051
AT4G22214.1	0.467972
AT4G12650.1	0.441146
AT4G37070.2	0.531452
AT4G37070.1	0.523104
AT4G37070.3	0.523104
AT4G37070.4	0.521544
AT4G24550.2	0.469282
AT4G24550.3	0.469211
AT4G24550.1	0.462214
AT4G39410.1	0.532967
AT4G20190.1	0.524464
AT4G22250.1	0.48125
AT4G34380.1	0.494943
AT4G37790.1	0.513221
AT4G04510.1	0.492791
AT4G14104.1	0.537209
AT4G14440.1	0.484551
AT4G22790.1	0.452753
AT4G23330.1	0.472772
AT4G23330.2	0.47836
AT4G31420.2	0.490519
AT4G31420.1	0.490083
AT4G39640.1	0.482497
AT4G39640.2	0.482497
AT4G03480.1	0.494177
AT4G25560.1	0.527745
AT4G14819.1	0.493548
AT4G33180.1	0.494015
AT4G00840.1	0.438576
AT4G03220.1	0.512064
AT4G26830.1	0.52091
AT4G31490.1	0.5
AT4G20580.1	0.478231
AT4G39350.1	0.462769
AT4G27030.1	0.520165
AT4G34960.1	0.483582
AT4G13840.1	0.466459
AT4G39370.3	0.47191
AT4G39370.1	0.471622
AT4G39370.2	0.458834
AT4G20420.1	0.523585
AT4G30067.1	0.474138
AT4G05553.1	0.416918
AT4G20080.1	0.443966
AT4G28920.1	0.496568
AT4G01370.1	0.474245
AT4G07990.1	0.545058
AT4G07990.2	0.551084
AT4G39917.1	0.512295
AT4G21980.2	0.486553
AT4G21980.1	0.486264
AT4G38580.1	0.4814
AT4G08640.1	0.483366
AT4G21830.1	0.495349
AT4G21830.2	0.494062
AT4G26390.1	0.495635
AT4G23180.1	0.512718
AT4G20270.1	0.495629
AT4G19900.1	0.456995
AT4G27435.1	0.452611
AT4G33410.1	0.452424
AT4G32560.1	0.494541
AT4G32560.2	0.494541
AT4G32560.3	0.493407
AT4G13970.1	0.468696
AT4G17230.1	0.478864
AT4G03320.1	0.487059
AT4G09870.1	0.482656
AT4G08949.1	0.410072
AT4G13266.1	0.431165
AT4G40080.1	0.462031
AT4G28860.1	0.508065
AT4G28860.2	0.50265
AT4G13430.1	0.459016
AT4G14650.1	0.501056
AT4G39830.1	0.517775
AT4G37980.1	0.459308
AT4G37980.2	0.457399
AT4G10930.1	0.548475
AT4G04460.1	0.47569
AT4G04460.2	0.475497
AT4G24710.1	0.494027
AT4G08430.1	0.479769
AT4G39580.1	0.444346
AT4G22010.1	0.51203
AT4G36105.2	0.516644
AT4G36105.1	0.51296
AT4G15165.1	0.485531
AT4G02720.1	0.489715
AT4G07932.1	0.497427
AT4G11740.1	0.510651
AT4G39670.1	0.508029
AT4G01900.1	0.459044
AT4G37860.1	0.534906
AT4G37260.1	0.440501
AT4G36195.1	0.473324
AT4G36195.3	0.473324
AT4G36195.2	0.473058
AT4G20030.1	0.473568
AT4G31351.1	0.46114
AT4G34520.1	0.492084
AT4G28450.1	0.48966
AT4G17560.1	0.505201
AT4G35650.1	0.471869
AT4G04870.1	0.454456
AT4G19350.1	0.531599
AT4G03945.1	0.480836
AT4G03945.2	0.483784
AT4G29300.1	0.401747
AT4G25707.1	0.457627
AT4G10370.1	0.504614
AT4G24330.1	0.473464
AT4G11300.1	0.437444
AT4G33985.1	0.495652
AT4G11180.1	0.531646
AT4G36890.1	0.457088
AT4G33945.1	0.478417
AT4G36730.1	0.533404
AT4G36730.2	0.532551
AT4G15955.3	0.469231
AT4G15955.2	0.449726
AT4G15955.1	0.454887
AT4G28140.1	0.521739
AT4G11250.1	0.55736
AT4G21050.1	0.493631
AT4G17650.1	0.436031
AT4G10010.1	0.530249
AT4G32940.1	0.483784
AT4G30300.1	0.500924
AT4G15340.1	0.472997
AT4G36040.1	0.488565
AT4G26450.1	0.486805
AT4G40090.1	0.575904
AT4G03160.1	0.482578
AT4G37850.1	0.531568
AT4G08263.1	0.44
AT4G08263.2	0.528814
AT4G32980.1	0.521524
AT4G21070.1	0.520737
AT4G33300.1	0.488553
AT4G33300.2	0.488553
AT4G26540.1	0.509019
AT4G19950.1	0.447451
AT4G29820.1	0.475904
AT4G24400.1	0.498875
AT4G24400.2	0.493579
AT4G13620.1	0.560241
AT4G28405.1	0.445498
AT4G28200.1	0.469619
AT4G10870.1	0.475822
AT4G02680.1	0.467318
AT4G03115.1	0.47766
AT4G29240.1	0.451327
AT4G05520.1	0.512836
AT4G05520.2	0.513166
AT4G28790.1	0.533549
AT4G28790.2	0.535363
AT4G23780.1	0.504525
AT4G22840.1	0.48898
AT4G37250.1	0.494353
AT4G10695.1	0.455714
AT4G15960.1	0.534283
AT4G10730.1	0.488503
AT4G16690.1	0.508929
AT4G00450.1	0.483943
AT4G39660.1	0.467742
AT4G36430.1	0.50555
AT4G10260.1	0.459794
AT4G26050.1	0.518745
AT4G16215.1	0.40327
AT4G20690.1	0.524272
AT4G28840.1	0.551127
AT4G20150.1	0.431535
AT4G34560.1	0.523449
AT4G32640.1	0.500309
AT4G32640.2	0.500309
AT4G04200.1	0.494718
AT4G16280.2	0.530594
AT4G16280.4	0.541212
AT4G16280.3	0.514089
AT4G16280.1	0.557171
AT4G02310.1	0.457416
AT4G27780.1	0.481132
AT4G08500.1	0.442371
AT4G32700.2	0.479102
AT4G00520.2	0.479183
AT4G00520.3	0.476528
AT4G08570.1	0.520089
AT4G24670.1	0.471927
AT4G24670.2	0.471927
AT4G12110.1	0.48991
AT4G22130.1	0.487897
AT4G22130.2	0.492874
AT4G30540.1	0.481132
AT4G09950.1	0.528827
AT4G04690.1	0.472615
AT4G35680.1	0.491705
AT4G37020.2	0.518135
AT4G37020.1	0.51735
AT4G11920.1	0.46662
AT4G37022.1	0.467797
AT4G31354.1	0.481865
AT4G38270.1	0.517664
AT4G38270.2	0.518263
AT4G16930.1	0.491304
AT4G10300.1	0.51
AT4G03090.1	0.473877
AT4G03090.2	0.475142
AT4G20470.1	0.461722
AT4G28420.2	0.526394
AT4G28420.1	0.525322
AT4G02850.1	0.477074
AT4G12680.1	0.460244
AT4G11530.1	0.478803
AT4G08150.1	0.574664
AT4G15700.1	0.490132
AT4G00780.1	0.482682
AT4G29190.1	0.440901
AT4G00910.1	0.492948
AT4G17080.1	0.456734
AT4G04930.1	0.491952
AT4G39910.1	0.521152
AT4G35810.1	0.496544
AT4G31700.1	0.505348
AT4G31700.2	0.507117
AT4G23230.1	0.495721
AT4G35350.1	0.495767
AT4G35350.2	0.5
AT4G19560.1	0.502177
AT4G34240.1	0.480583
AT4G34240.2	0.474315
AT4G20325.1	0.501809
AT4G20325.2	0.461224
AT4G12780.1	0.516605
AT4G12780.2	0.515299
AT4G14315.1	0.354286
AT4G01590.1	0.478261
AT4G01590.3	0.478261
AT4G01590.2	0.478992
AT4G32924.1	0.460177
AT4G32260.1	0.541985
AT4G09649.1	0.308271
AT4G32570.1	0.53839
AT4G14560.1	0.561753
AT4G00500.1	0.449927
AT4G00500.2	0.449927
AT4G32785.1	0.502703
AT4G10700.1	0.476319
AT4G03113.1	0.342391
AT4G33290.1	0.472826
AT4G01790.1	0.553106
AT4G36460.1	0.404157
AT4G38190.1	0.490243
AT4G30840.1	0.442183
AT4G16008.1	0.599138
AT4G09647.1	0.46473
AT4G16460.1	0.538023
AT4G16460.2	0.538023
AT4G16460.3	0.538023
AT4G21610.1	0.557235
AT4G34138.1	0.484952
AT4G07950.1	0.487342
AT4G08470.1	0.473182
AT4G16195.1	0.50104
AT4G19440.1	0.434695
AT4G19440.2	0.434695
AT4G21670.1	0.48258
AT4G00970.1	0.500753
AT4G14400.1	0.488048
AT4G14400.2	0.48674
AT4G14400.3	0.48674
AT4G25080.1	0.478587
AT4G25080.2	0.478587
AT4G25080.3	0.478587
AT4G25080.5	0.478587
AT4G25080.4	0.463847
AT4G34131.1	0.491325
AT4G21800.1	0.470485
AT4G21800.2	0.470485
AT4G35750.1	0.485099
AT4G18422.1	0.416031
AT4G35060.1	0.468271
AT4G16670.1	0.525292
AT4G22590.1	0.503986
AT4G24420.1	0.501931
AT4G27360.1	0.472313
AT4G23100.1	0.467391
AT4G23100.3	0.467391
AT4G23100.2	0.46606
AT4G26230.1	0.501408
AT4G22710.1	0.511421
AT4G38280.1	0.551181
AT4G02075.1	0.503067
AT4G16860.1	0.477464
AT4G10220.1	0.508347
AT4G31200.1	0.536448
AT4G31200.2	0.536448
AT4G31200.3	0.536448
AT4G06744.1	0.5
AT4G27440.1	0.485429
AT4G27440.2	0.485429
AT4G08950.1	0.523404
AT4G24160.1	0.46885
AT4G24160.2	0.473633
AT4G18130.1	0.462807
AT4G03960.1	0.484797
AT4G31240.1	0.494889
AT4G31240.2	0.494889
AT4G09660.1	0.454271
AT4G22930.1	0.506643
AT4G29920.1	0.492293
AT4G15610.1	0.481802
AT4G28930.1	0.502868
AT4G33620.1	0.506178
AT4G20390.1	0.512733
AT4G13020.3	0.478947
AT4G13020.5	0.482707
AT4G13020.2	0.478523
AT4G13020.1	0.487337
AT4G13020.4	0.483924
AT4G28710.1	0.50352
AT4G23140.2	0.51423
AT4G23140.1	0.516832
AT4G02880.2	0.487395
AT4G02880.1	0.487304
AT4G17430.1	0.465438
AT4G29550.1	0.48694
AT4G02440.1	0.476143
AT4G35260.1	0.476797
AT4G17565.1	0.501767
AT4G33160.1	0.527392
AT4G14770.1	0.522277
AT4G35250.1	0.501268
AT4G15210.1	0.493298
AT4G15210.2	0.497615
AT4G27570.1	0.470892
AT4G23450.2	0.525723
AT4G23450.3	0.525723
AT4G23450.1	0.52954
AT4G23895.3	0.493209
AT4G23895.1	0.499323
AT4G23895.2	0.499323
AT4G27150.1	0.574803
AT4G17850.1	0.513417
AT4G08230.1	0.406528
AT4G08230.2	0.373832
AT4G19080.1	0.514811
AT4G23690.1	0.506261
AT4G38960.3	0.492604
AT4G38960.1	0.506399
AT4G38960.2	0.513393
AT4G12120.1	0.509577
AT4G25010.1	0.483948
AT4G15070.1	0.497936
AT4G28940.1	0.509597
AT4G13270.1	0.48056
AT4G10110.1	0.502901
AT4G10350.1	0.516161
AT4G09012.1	0.508065
AT4G34470.1	0.506608
AT4G24390.1	0.451527
AT4G24390.2	0.451527
AT4G30730.1	0.558065
AT4G20540.1	0.475036
AT4G00630.2	0.468618
AT4G00630.1	0.46875
AT4G15050.1	0.491568
AT4G39050.1	0.518179
AT4G31830.1	0.543624
AT4G35910.1	0.450437
AT4G02210.1	0.478327
AT4G02210.2	0.478327
AT4G15660.1	0.496711
AT4G31140.1	0.46
AT4G28680.2	0.502746
AT4G28680.3	0.503356
AT4G28680.1	0.502756
AT4G28680.4	0.501861
AT4G00270.1	0.46792
AT4G33585.1	0.570526
AT4G01820.1	0.449118
AT4G25000.1	0.491713
AT4G01640.1	0.505568
AT4G36268.1	0.415663
AT4G19740.1	0.478605
AT4G29070.1	0.48129
AT4G29070.2	0.48129
AT4G22270.1	0.484339
AT4G05265.1	0.56391
AT4G37380.1	0.5
AT4G26720.1	0.460022
AT4G19970.1	0.495567
AT4G13870.2	0.481439
AT4G13870.1	0.483001
AT4G04990.1	0.527012
AT4G31520.1	0.51195
AT4G35500.2	0.486692
AT4G35500.1	0.491616
AT4G38781.1	0.378378
AT4G34670.1	0.485969
AT4G16790.1	0.532816
AT4G36240.1	0.477528
AT4G00370.1	0.455891
AT4G20050.1	0.475364
AT4G20050.2	0.475364
AT4G12530.1	0.515759
AT4G34490.1	0.485273
AT4G22940.1	0.513848
AT4G02630.1	0.438942
AT4G23170.1	0.547289
AT4G22750.2	0.450515
AT4G22750.1	0.452434
AT4G30380.1	0.457766
AT4G02170.1	0.500978
AT4G19360.1	0.5399
AT4G19360.2	0.555773
AT4G09120.1	0.480155
AT4G12740.1	0.498411
AT4G19130.1	0.491915
AT4G06740.1	0.58498
AT4G09250.1	0.494737
AT4G02000.1	0.495745
AT4G29530.1	0.48704
AT4G08300.1	0.478066
AT4G31805.1	0.506796
AT4G02070.1	0.484383
AT4G02070.2	0.483969
AT4G25170.2	0.456744
AT4G25170.1	0.45534
AT4G16566.1	0.516055
AT4G37800.1	0.486887
AT4G13615.1	0.459716
AT4G00160.1	0.45689
AT1G30814.1	0.526835
AT1G30814.3	0.526835
AT1G30814.2	0.520253
AT1G57770.1	0.451163
AT1G33040.1	0.5104
AT1G78930.1	0.469226
AT1G19240.1	0.454839
AT1G71695.1	0.540112
AT1G08135.1	0.481559
AT1G12980.1	0.527495
AT1G58983.1	0.443529
AT1G19770.1	0.513169
AT1G29010.1	0.552339
AT1G23201.1	0.507117
AT1G09030.1	0.559036
AT1G13970.1	0.517881
AT1G16500.1	0.503226
AT1G50430.1	0.453632
AT1G50430.2	0.454686
AT1G20560.1	0.468788
AT1G20560.2	0.460894
AT1G68910.1	0.505588
AT1G68910.2	0.509748
AT1G68910.3	0.509748
AT1G03590.1	0.475434
AT1G45223.1	0.45481
AT1G77340.1	0.460963
AT1G42700.1	0.514607
AT1G12840.1	0.461264
AT1G07080.1	0.489281
AT1G13940.1	0.511118
AT1G14570.1	0.515692
AT1G14570.2	0.515692
AT1G14570.3	0.519044
AT1G14570.4	0.519044
AT1G21695.1	0.51772
AT1G21310.1	0.678544
AT1G20730.1	0.469974
AT1G05010.1	0.50879
AT1G56250.1	0.505924
AT1G14620.1	0.509326
AT1G14620.2	0.507599
AT1G28305.1	0.486553
AT1G18630.1	0.37149
AT1G02190.1	0.529005
AT1G02190.2	0.52812
AT1G14100.1	0.510349
AT1G09300.1	0.489506
AT1G09300.2	0.486272
AT1G34830.1	0.514599
AT1G22340.1	0.463331
AT1G35710.1	0.543776
AT1G45207.2	0.508719
AT1G66852.1	0.42378
AT1G70650.2	0.49355
AT1G70650.1	0.499284
AT1G24100.1	0.455733
AT1G69810.1	0.555651
AT1G77710.1	0.505415
AT1G72450.1	0.537888
AT1G75600.1	0.504926
AT1G24880.1	0.484163
AT1G24880.2	0.522788
AT1G24880.3	0.524725
AT1G21690.3	0.496572
AT1G21690.1	0.494581
AT1G21690.4	0.491952
AT1G21690.2	0.491318
AT1G76280.3	0.485214
AT1G76280.1	0.484247
AT1G76280.2	0.479056
AT1G53710.1	0.485461
AT1G53710.2	0.488823
AT1G75410.1	0.53121
AT1G75410.2	0.53121
AT1G65630.1	0.503881
AT1G48110.1	0.520104
AT1G48110.2	0.520104
AT1G15690.1	0.439341
AT1G15690.2	0.428274
AT1G47790.1	0.487554
AT1G71390.1	0.49617
AT1G65484.1	0.537815
AT1G65484.2	0.540426
AT1G80850.1	0.506639
AT1G30900.1	0.480169
AT1G34910.1	0.439086
AT1G60710.1	0.510165
AT1G05730.1	0.530337
AT1G50380.1	0.474624
AT1G49500.1	0.459893
AT1G28460.1	0.512868
AT1G80950.1	0.470638
AT1G73860.1	0.54865
AT1G51810.1	0.507175
AT1G25988.1	0.542751
AT1G32670.1	0.615385
AT1G32370.2	0.531969
AT1G32370.3	0.533512
AT1G32370.4	0.52861
AT1G32370.1	0.524725
AT1G15210.1	0.495143
AT1G56233.1	0.540541
AT1G26830.1	0.492707
AT1G10670.3	0.481537
AT1G10670.1	0.486977
AT1G10670.2	0.486977
AT1G10670.4	0.486977
AT1G15250.1	0.515901
AT1G04830.2	0.506909
AT1G04830.1	0.499255
AT1G27730.1	0.544919
AT1G52380.1	0.507587
AT1G79700.2	0.540021
AT1G79700.1	0.540243
AT1G21720.1	0.463934
AT1G62830.1	0.46087
AT1G79930.1	0.480931
AT1G79930.2	0.474419
AT1G73360.1	0.505083
AT1G20510.1	0.502445
AT1G20510.2	0.49259
AT1G16360.1	0.499006
AT1G20650.1	0.482033
AT1G23840.1	0.443676
AT1G26670.1	0.504518
AT1G49150.1	0.420814
AT1G76320.1	0.483136
AT1G76320.2	0.482633
AT1G61170.1	0.491345
AT1G52200.1	0.492958
AT1G54410.1	0.60274
AT1G55770.1	0.554493
AT1G53290.1	0.487899
AT1G57800.1	0.479778
AT1G29330.1	0.446345
AT1G69460.1	0.489063
AT1G04310.1	0.445422
AT1G26380.1	0.490954
AT1G08080.1	0.505468
AT1G23120.1	0.5181
AT1G05430.1	0.504348
AT1G71890.1	0.470013
AT1G75550.1	0.436874
AT1G30970.1	0.518653
AT1G30970.2	0.531283
AT1G76540.1	0.522946
AT1G80090.1	0.499169
AT1G18720.1	0.444805
AT1G80580.1	0.490862
AT1G44800.1	0.484657
AT1G80870.1	0.470106
AT1G68810.1	0.526316
AT1G30020.1	0.49467
AT1G21870.1	0.442703
AT1G15780.1	0.563827
AT1G23720.1	0.693254
AT1G57780.1	0.521519
AT1G13980.1	0.484256
AT1G13980.2	0.484256
AT1G75310.1	0.514509
AT1G68100.1	0.458363
AT1G02010.1	0.512643
AT1G02010.2	0.51365
AT1G47900.1	0.496835
AT1G47900.2	0.496195
AT1G14315.2	0.491731
AT1G14315.1	0.487805
AT1G25510.1	0.514167
AT1G29840.1	0.491741
AT1G09290.1	0.523992
AT1G25083.1	0.486446
AT1G26760.1	0.420086
AT1G05250.1	0.498458
AT1G72730.1	0.479839
AT1G67260.1	0.527442
AT1G67260.2	0.52902
AT1G32375.1	0.439873
AT1G10010.1	0.477864
AT1G62690.1	0.472477
AT1G02310.1	0.502031
AT1G22100.1	0.492808
AT1G24575.1	0.541985
AT1G12790.1	0.494652
AT1G68270.1	0.508422
AT1G65032.1	0.516605
AT1G77840.1	0.490451
AT1G72890.2	0.486635
AT1G72890.1	0.498476
AT1G04850.1	0.523848
AT1G80060.1	0.482806
AT1G62301.1	0.524096
AT1G50510.1	0.521255
AT1G31760.1	0.494012
AT1G09460.1	0.584008
AT1G33250.1	0.469549
AT1G70510.1	0.514009
AT1G77130.1	0.50216
AT1G74000.1	0.499492
AT1G08845.2	0.485714
AT1G08845.1	0.504425
AT1G51172.1	0.526703
AT1G74680.1	0.463432
AT1G31390.1	0.470075
AT1G13030.1	0.521405
AT1G55580.1	0.522881
AT1G53903.1	0.510638
AT1G19715.3	0.481954
AT1G19715.1	0.481772
AT1G19715.2	0.484512
AT1G69430.1	0.390267
AT1G53340.1	0.497249
AT1G11800.1	0.456472
AT1G72050.2	0.488655
AT1G72050.1	0.480412
AT1G17744.1	0.548165
AT1G25260.1	0.485064
AT1G31470.1	0.485092
AT1G20100.1	0.516999
AT1G20100.2	0.532508
AT1G29890.2	0.476
AT1G29890.1	0.478693
AT1G24148.1	0.530612
AT1G24148.2	0.537906
AT1G79470.1	0.447246
AT1G05880.2	0.482503
AT1G05880.1	0.481229
AT1G56540.1	0.49574
AT1G80290.2	0.444995
AT1G80290.1	0.443655
AT1G61460.1	0.485491
AT1G10190.1	0.49747
AT1G73940.1	0.521064
AT1G26795.1	0.487805
AT1G77150.1	0.452586
AT1G77520.1	0.48291
AT1G51402.1	0.404494
AT1G48650.2	0.490321
AT1G48650.1	0.491502
AT1G07030.1	0.452869
AT1G22670.1	0.487342
AT1G10747.1	0.562753
AT1G33560.1	0.475201
AT1G69860.1	0.488876
AT1G80680.1	0.476722
AT1G01250.1	0.501742
AT1G10120.1	0.510949
AT1G43650.1	0.497566
AT1G43650.2	0.521104
AT1G27340.1	0.483202
AT1G51230.1	0.517426
AT1G44900.1	0.507484
AT1G44900.2	0.5075
AT1G09960.1	0.424084
AT1G66830.1	0.500731
AT1G50580.1	0.467958
AT1G32640.1	0.499197
AT1G02000.1	0.504615
AT1G03670.1	0.489707
AT1G51990.1	0.49954
AT1G51990.2	0.50138
AT1G75390.1	0.497099
AT1G75390.2	0.514986
AT1G42550.1	0.464978
AT1G75810.1	0.404826
AT1G62510.1	0.602247
AT1G27180.1	0.495714
AT1G64740.1	0.480712
AT1G36340.1	0.532609
AT1G53625.1	0.339623
AT1G33330.1	0.495449
AT1G63360.1	0.468302
AT1G74340.1	0.512605
AT1G47056.1	0.435567
AT1G74929.1	0.443299
AT1G70460.1	0.532425
AT1G01950.3	0.499453
AT1G01950.1	0.498881
AT1G01950.2	0.499049
AT1G21327.1	0.501931
AT1G73830.1	0.518566
AT1G73830.2	0.517995
AT1G12380.1	0.485486
AT1G63430.2	0.490301
AT1G63430.1	0.493467
AT1G80720.1	0.505282
AT1G69770.1	0.491054
AT1G08460.1	0.479185
AT1G33730.1	0.494555
AT1G78710.1	0.493953
AT1G78710.2	0.506145
AT1G12672.2	0.512903
AT1G12672.1	0.55102
AT1G71280.1	0.521895
AT1G08610.1	0.465075
AT1G71865.1	0.552542
AT1G25055.1	0.481881
AT1G09660.1	0.486547
AT1G09660.2	0.482278
AT1G22882.1	0.486855
AT1G17540.1	0.530706
AT1G69295.1	0.561747
AT1G08160.1	0.565809
AT1G27380.1	0.531722
AT1G27380.2	0.531722
AT1G58643.1	0.492445
AT1G51745.1	0.484292
AT1G51745.2	0.488742
AT1G45215.1	0.460641
AT1G61980.1	0.469649
AT1G56410.1	0.491076
AT1G15750.1	0.49248
AT1G15750.2	0.49248
AT1G15750.3	0.49248
AT1G15750.4	0.49248
AT1G28530.1	0.478261
AT1G28530.2	0.477953
AT1G48953.1	0.629371
AT1G06330.1	0.541053
AT1G51440.1	0.530082
AT1G54260.1	0.541596
AT1G65980.1	0.477273
AT1G65980.2	0.459834
AT1G62978.1	0.450704
AT1G28200.1	0.51871
AT1G18871.1	0.453488
AT1G25210.1	0.480648
AT1G25210.2	0.477981
AT1G21610.3	0.53093
AT1G21610.1	0.53122
AT1G21610.2	0.531021
AT1G76490.1	0.482848
AT1G05785.1	0.39206
AT1G05785.2	0.39206
AT1G21730.1	0.526987
AT1G43950.1	0.483434
AT1G80790.1	0.513158
AT1G35617.1	0.465374
AT1G75420.1	0.489546
AT1G79710.1	0.43049
AT1G31010.1	0.505566
AT1G47317.1	0.495114
AT1G15170.1	0.466343
AT1G05170.2	0.481542
AT1G05170.1	0.480992
AT1G75730.1	0.560907
AT1G75730.2	0.560907
AT1G19230.2	0.499643
AT1G19230.1	0.498559
AT1G80840.1	0.524336
AT1G76860.1	0.482877
AT1G77940.1	0.48503
AT1G28080.1	0.504018
AT1G54650.2	0.45616
AT1G54650.1	0.459218
AT1G35460.1	0.463226
AT1G30845.1	0.423295
AT1G60450.1	0.479879
AT1G17790.1	0.489376
AT1G04930.2	0.52583
AT1G04930.1	0.533199
AT1G65700.3	0.446556
AT1G65700.1	0.462329
AT1G65700.2	0.462329
AT1G56270.1	0.458678
AT1G71300.1	0.487737
AT1G79230.1	0.480176
AT1G79230.3	0.470954
AT1G79230.2	0.473934
AT1G10050.1	0.472858
AT1G49490.1	0.602599
AT1G09795.1	0.501213
AT1G13310.1	0.510714
AT1G73770.1	0.437828
AT1G73770.2	0.437828
AT1G69020.1	0.477743
AT1G09280.1	0.480184
AT1G35240.1	0.505656
AT1G16300.1	0.49841
AT1G08200.1	0.503004
AT1G48690.1	0.5
AT1G04140.2	0.486327
AT1G04140.1	0.486064
AT1G09140.1	0.458853
AT1G09140.2	0.446475
AT1G49570.1	0.490458
AT1G76728.1	0.381443
AT1G13609.1	0.508621
AT1G13609.2	0.488722
AT1G68470.1	0.529714
AT1G22630.1	0.442073
AT1G50410.1	0.50255
AT1G48800.1	0.495296
AT1G47980.1	0.449629
AT1G75580.1	0.509317
AT1G09245.1	0.501205
AT1G32050.1	0.467089
AT1G68935.1	0.486631
AT1G63750.3	0.498083
AT1G63750.1	0.494464
AT1G63750.2	0.494464
AT1G53380.1	0.498158
AT1G53380.2	0.498158
AT1G53380.3	0.498158
AT1G51805.1	0.501132
AT1G51805.2	0.501552
AT1G23250.1	0.523654
AT1G69370.1	0.52537
AT1G26400.1	0.480051
AT1G63700.1	0.508878
AT1G05205.1	0.560886
AT1G58602.1	0.491208
AT1G58602.2	0.491208
AT1G72980.1	0.5625
AT1G06670.1	0.507406
AT1G09740.1	0.483366
AT1G59970.1	0.469388
AT1G11520.1	0.522184
AT1G57700.1	0.48891
AT1G13700.1	0.503741
AT1G30640.1	0.515439
AT1G29620.1	0.490826
AT1G52260.1	0.485395
AT1G43720.1	0.531915
AT1G50990.1	0.511521
AT1G10230.1	0.510055
AT1G03905.1	0.474654
AT1G22150.1	0.49237
AT1G26440.2	0.434923
AT1G26440.3	0.434923
AT1G26440.1	0.44287
AT1G26440.4	0.447193
AT1G03660.1	0.442006
AT1G51320.1	0.485307
AT1G47970.1	0.444257
AT1G68290.1	0.539171
AT1G24490.1	0.525084
AT1G24490.2	0.532514
AT1G53900.1	0.48504
AT1G68200.1	0.506508
AT1G68200.2	0.505985
AT1G22070.1	0.50087
AT1G55910.1	0.439549
AT1G01460.1	0.51681
AT1G26700.1	0.481928
AT1G07500.1	0.504545
AT1G09310.1	0.536449
AT1G70260.1	0.479074
AT1G19870.1	0.519328
AT1G61563.1	0.532787
AT1G08820.1	0.524221
AT1G08820.2	0.524221
AT1G54280.1	0.47418
AT1G23145.1	0.522491
AT1G63860.1	0.511628
AT1G63860.2	0.511816
AT1G55700.1	0.5086
AT1G10250.1	0.49345
AT1G64180.1	0.513225
AT1G73603.1	0.481343
AT1G51850.1	0.512919
AT1G55650.1	0.509415
AT1G78180.1	0.494409
AT1G45191.1	0.502208
AT1G45191.2	0.503911
AT1G51710.1	0.490305
AT1G51710.2	0.491334
AT1G47230.2	0.483755
AT1G47230.1	0.484163
AT1G07240.1	0.470793
AT1G04590.2	0.507826
AT1G04590.1	0.509202
AT1G55928.1	0.54148
AT1G68840.1	0.5
AT1G68840.2	0.5
AT1G29880.1	0.494279
AT1G72720.1	0.532982
AT1G55490.1	0.478865
AT1G55490.2	0.478865
AT1G53645.1	0.514359
AT1G12000.1	0.480542
AT1G10750.1	0.503217
AT1G76530.1	0.458568
AT1G18810.1	0.553063
AT1G40390.1	0.496865
AT1G09930.1	0.448182
AT1G26940.1	0.464497
AT1G10585.1	0.530499
AT1G51760.1	0.468134
AT1G07485.1	0.496644
AT1G06240.1	0.481255
AT1G72330.3	0.492456
AT1G72330.1	0.489493
AT1G72330.2	0.481022
AT1G54560.1	0.511014
AT1G72600.1	0.563275
AT1G72600.2	0.563275
AT1G18800.1	0.527415
AT1G31430.1	0.418618
AT1G60190.1	0.471304
AT1G01510.1	0.491081
AT1G12030.1	0.450736
AT1G09483.1	0.517964
AT1G20320.1	0.495117
AT1G20840.1	0.474545
AT1G74830.1	0.506158
AT1G47813.1	0.510526
AT1G09815.1	0.505405
AT1G45050.1	0.515593
AT1G66880.1	0.524447
AT1G51450.1	0.48
AT1G10717.1	0.5
AT1G24510.1	0.469744
AT1G24510.2	0.462545
AT1G51790.1	0.489788
AT1G04645.1	0.468586
AT1G52500.2	0.517979
AT1G52500.1	0.493902
AT1G25112.1	0.601036
AT1G70910.1	0.503119
AT1G10430.1	0.460699
AT1G05670.1	0.450248
AT1G05670.2	0.450248
AT1G18600.1	0.463221
AT1G80600.1	0.468955
AT1G05260.1	0.494877
AT1G64110.2	0.516298
AT1G64110.3	0.516741
AT1G64110.1	0.515385
AT1G13635.1	0.515575
AT1G13635.2	0.515575
AT1G65220.1	0.482535
AT1G33102.1	0.478723
AT1G13550.1	0.47074
AT1G48490.1	0.483932
AT1G48490.2	0.483932
AT1G48490.3	0.483932
AT1G01500.1	0.45046
AT1G19520.1	0.47722
AT1G19520.2	0.482047
AT1G12663.1	0.498542
AT1G64690.1	0.526316
AT1G72650.2	0.498941
AT1G72650.1	0.499465
AT1G01580.1	0.491486
AT1G01150.1	0.481123
AT1G63310.1	0.552174
AT1G76150.1	0.490811
AT1G48220.1	0.50367
